pokemon_number,pokemon_name,attack,classfication,defense,height_m,hp,speed,type1,type2,weight_kg,generation,is_legendary,abilities
37,Vulpix,41,Fox Pokémon,40,,38,65,fire,ice,,1,0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
38,Ninetales,67,Fox Pokémon,75,,73,109,fire,ice,,1,0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
39,Jigglypuff,45,Balloon Pokémon,20,0.5,115,20,normal,fairy,5.5,1,0,"['Cute Charm', 'Competitive', 'Friend Guard']"
40,Wigglytuff,70,Balloon Pokémon,45,1.0,140,45,normal,fairy,12.0,1,0,"['Cute Charm', 'Competitive', 'Frisk']"
41,Zubat,45,Bat Pokémon,35,0.8,40,55,poison,flying,7.5,1,0,"['Inner Focus', 'Infiltrator']"
42,Golbat,80,Bat Pokémon,70,1.6,75,90,poison,flying,55.0,1,0,"['Inner Focus', 'Infiltrator']"
43,Oddish,50,Weed Pokémon,55,0.5,45,30,grass,poison,5.4,1,0,"['Chlorophyll', 'Run Away']"
44,Gloom,65,Weed Pokémon,70,0.8,60,40,grass,poison,8.6,1,0,"['Chlorophyll', 'Stench']"
45,Vileplume,80,Flower Pokémon,85,1.2,75,50,grass,poison,18.6,1,0,"['Chlorophyll', 'Effect Spore']"
46,Paras,70,Mushroom Pokémon,55,0.3,35,25,bug,grass,5.4,1,0,"['Effect Spore', 'Dry Skin', 'Damp']"
47,Parasect,95,Mushroom Pokémon,80,1.0,60,30,bug,grass,29.5,1,0,"['Effect Spore', 'Dry Skin', 'Damp']"
48,Venonat,55,Insect Pokémon,50,1.0,60,45,bug,poison,30.0,1,0,"['Compoundeyes', 'Tinted Lens', 'Run Away']"
49,Venomoth,65,Poison Moth Pokémon,60,1.5,70,90,bug,poison,12.5,1,0,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']"
50,Diglett,55,Mole Pokémon,30,,10,90,ground,ground,,1,0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
51,Dugtrio,100,Mole Pokémon,60,,35,110,ground,ground,,1,0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
52,Meowth,35,Scratch Cat Pokémon,35,,40,90,normal,dark,,1,0,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']"
53,Persian,60,Classy Cat Pokémon,60,,65,115,normal,dark,,1,0,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']"
54,Psyduck,52,Duck Pokémon,48,0.8,50,55,water,,19.6,1,0,"['Damp', 'Cloud Nine', 'Swift Swim']"
55,Golduck,82,Duck Pokémon,78,1.7,80,85,water,,76.6,1,0,"['Damp', 'Cloud Nine', 'Swift Swim']"
56,Mankey,80,Pig Monkey Pokémon,35,0.5,40,70,fighting,,28.0,1,0,"['Vital Spirit', 'Anger Point', 'Defiant']"
57,Primeape,105,Pig Monkey Pokémon,60,1.0,65,95,fighting,,32.0,1,0,"['Vital Spirit', 'Anger Point', 'Defiant']"
58,Growlithe,70,Puppy Pokémon,45,0.7,55,60,fire,,19.0,1,0,"['Intimidate', 'Flash Fire', 'Justified']"
59,Arcanine,110,Legendary Pokémon,80,1.9,90,95,fire,,155.0,1,0,"['Intimidate', 'Flash Fire', 'Justified']"
60,Poliwag,50,Tadpole Pokémon,40,0.6,40,90,water,,12.4,1,0,"['Water Absorb', 'Damp', 'Swift Swim']"
61,Poliwhirl,65,Tadpole Pokémon,65,1.0,65,90,water,,20.0,1,0,"['Water Absorb', 'Damp', 'Swift Swim']"
62,Poliwrath,95,Tadpole Pokémon,95,1.3,90,70,water,fighting,54.0,1,0,"['Water Absorb', 'Damp', 'Swift Swim']"
63,Abra,20,Psi Pokémon,15,0.9,25,90,psychic,,19.5,1,0,"['Synchronize', 'Inner Focus', 'Magic Guard']"
64,Kadabra,35,Psi Pokémon,30,1.3,40,105,psychic,,56.5,1,0,"['Synchronize', 'Inner Focus', 'Magic Guard']"
65,Alakazam,50,Psi Pokémon,65,1.5,55,150,psychic,,48.0,1,0,"['Synchronize', 'Inner Focus', 'Magic Guard']"
66,Machop,80,Superpower Pokémon,50,0.8,70,35,fighting,,19.5,1,0,"['Guts', 'No Guard', 'Steadfast']"
67,Machoke,100,Superpower Pokémon,70,1.5,80,45,fighting,,70.5,1,0,"['Guts', 'No Guard', 'Steadfast']"
68,Machamp,130,Superpower Pokémon,80,1.6,90,55,fighting,,130.0,1,0,"['Guts', 'No Guard', 'Steadfast']"
69,Bellsprout,75,Flower Pokémon,35,0.7,50,40,grass,poison,4.0,1,0,"['Chlorophyll', 'Gluttony']"
70,Weepinbell,90,Flycatcher Pokémon,50,1.0,65,55,grass,poison,6.4,1,0,"['Chlorophyll', 'Gluttony']"
71,Victreebel,105,Flycatcher Pokémon,65,1.7,80,70,grass,poison,15.5,1,0,"['Chlorophyll', 'Gluttony']"
72,Tentacool,40,Jellyfish Pokémon,35,0.9,40,70,water,poison,45.5,1,0,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
73,Tentacruel,70,Jellyfish Pokémon,65,1.6,80,100,water,poison,55.0,1,0,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
74,Geodude,80,Rock Pokémon,100,,40,20,rock,ground,,1,0,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
75,Graveler,95,Rock Pokémon,115,,55,35,rock,ground,,1,0,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
76,Golem,120,Megaton Pokémon,130,,80,45,rock,ground,,1,0,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
77,Ponyta,85,Fire Horse Pokémon,55,1.0,50,90,fire,,30.0,1,0,"['Run Away', 'Flash Fire', 'Flame Body']"
78,Rapidash,100,Fire Horse Pokémon,70,1.7,65,105,fire,,95.0,1,0,"['Run Away', 'Flash Fire', 'Flame Body']"
79,Slowpoke,65,Dopey Pokémon,65,1.2,90,15,water,psychic,36.0,1,0,"['Oblivious', 'Own Tempo', 'Regenerator']"
80,Slowbro,75,Hermit Crab Pokémon,180,1.6,95,30,water,psychic,78.5,1,0,"['Oblivious', 'Own Tempo', 'Regenerator']"
81,Magnemite,35,Magnet Pokémon,70,0.3,25,45,electric,steel,6.0,1,0,"['Magnet Pull', 'Sturdy', 'Analytic']"
82,Magneton,60,Magnet Pokémon,95,1.0,50,70,electric,steel,60.0,1,0,"['Magnet Pull', 'Sturdy', 'Analytic']"
83,Farfetch'd,90,Wild Duck Pokémon,55,0.8,52,60,normal,flying,15.0,1,0,"['Keen Eye', 'Inner Focus', 'Defiant']"
84,Doduo,85,Twin Bird Pokémon,45,1.4,35,75,normal,flying,39.2,1,0,"['Run Away', 'Early Bird', 'Tangled Feet']"
85,Dodrio,110,Triple Bird Pokémon,70,1.8,60,110,normal,flying,85.2,1,0,"['Run Away', 'Early Bird', 'Tangled Feet']"
86,Seel,45,Sea Lion Pokémon,55,1.1,65,45,water,,90.0,1,0,"['Thick Fat', 'Hydration', 'Ice Body']"
87,Dewgong,70,Sea Lion Pokémon,80,1.7,90,70,water,ice,120.0,1,0,"['Thick Fat', 'Hydration', 'Ice Body']"
88,Grimer,80,Sludge Pokémon,50,,80,25,poison,poison,,1,0,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
89,Muk,105,Sludge Pokémon,75,,105,50,poison,poison,,1,0,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
90,Shellder,65,Bivalve Pokémon,100,0.3,30,40,water,,4.0,1,0,"['Shell Armor', 'Skill Link', 'Overcoat']"
91,Cloyster,95,Bivalve Pokémon,180,1.5,50,70,water,ice,132.5,1,0,"['Shell Armor', 'Skill Link', 'Overcoat']"
92,Gastly,35,Gas Pokémon,30,1.3,30,80,ghost,poison,0.1,1,0,['Levitate']
93,Haunter,50,Gas Pokémon,45,1.6,45,95,ghost,poison,0.1,1,0,['Levitate']
94,Gengar,65,Shadow Pokémon,80,1.5,60,130,ghost,poison,40.5,1,0,['Cursed Body']
95,Onix,45,Rock Snake Pokémon,160,8.8,35,70,rock,ground,210.0,1,0,"['Rock Head', 'Sturdy', 'Weak Armor']"
96,Drowzee,48,Hypnosis Pokémon,45,1.0,60,42,psychic,,32.4,1,0,"['Insomnia', 'Forewarn', 'Inner Focus']"
97,Hypno,73,Hypnosis Pokémon,70,1.6,85,67,psychic,,75.6,1,0,"['Insomnia', 'Forewarn', 'Inner Focus']"
98,Krabby,105,River Crab Pokémon,90,0.4,30,50,water,,6.5,1,0,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
99,Kingler,130,Pincer Pokémon,115,1.3,55,75,water,,60.0,1,0,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
100,Voltorb,30,Ball Pokémon,50,0.5,40,100,electric,,10.4,1,0,"['Soundproof', 'Static', 'Aftermath']"
101,Electrode,50,Ball Pokémon,70,1.2,60,150,electric,,66.6,1,0,"['Soundproof', 'Static', 'Aftermath']"
102,Exeggcute,40,Egg Pokémon,80,0.4,60,40,grass,psychic,2.5,1,0,"['Chlorophyll', 'Harvest']"
103,Exeggutor,105,Coconut Pokémon,85,,95,45,grass,psychic,,1,0,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']"
104,Cubone,50,Lonely Pokémon,95,0.4,50,35,ground,,6.5,1,0,"['Rock Head', 'Lightningrod', 'Battle Armor']"
105,Marowak,80,Bone Keeper Pokémon,110,,60,45,ground,fire,,1,0,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']"
106,Hitmonlee,120,Kicking Pokémon,53,1.5,50,87,fighting,,49.8,1,0,"['Limber', 'Reckless', 'Unburden']"
107,Hitmonchan,105,Punching Pokémon,79,1.4,50,76,fighting,,50.2,1,0,"['Keen Eye', 'Iron Fist', 'Inner Focus']"
108,Lickitung,55,Licking Pokémon,75,1.2,90,30,normal,,65.5,1,0,"['Own Tempo', 'Oblivious', 'Cloud Nine']"
109,Koffing,65,Poison Gas Pokémon,95,0.6,40,35,poison,,1.0,1,0,['Levitate']
110,Weezing,90,Poison Gas Pokémon,120,1.2,65,60,poison,,9.5,1,0,['Levitate']
111,Rhyhorn,85,Spikes Pokémon,95,1.0,80,25,ground,rock,115.0,1,0,"['Lightningrod', 'Rock Head', 'Reckless']"
112,Rhydon,130,Drill Pokémon,120,1.9,105,40,ground,rock,120.0,1,0,"['Lightningrod', 'Rock Head', 'Reckless']"
113,Chansey,5,Egg Pokémon,5,1.1,250,50,normal,,34.6,1,0,"['Natural Cure', 'Serene Grace', 'Healer']"
114,Tangela,55,Vine Pokémon,115,1.0,65,60,grass,,35.0,1,0,"['Chlorophyll', 'Leaf Guard', 'Regenerator']"
115,Kangaskhan,125,Parent Pokémon,100,2.2,105,100,normal,,80.0,1,0,"['Early Bird', 'Scrappy', 'Inner Focus']"
116,Horsea,40,Dragon Pokémon,70,0.4,30,60,water,,8.0,1,0,"['Swift Swim', 'Sniper', 'Damp']"
117,Seadra,65,Dragon Pokémon,95,1.2,55,85,water,,25.0,1,0,"['Poison Point', 'Sniper', 'Damp']"
118,Goldeen,67,Goldfish Pokémon,60,0.6,45,63,water,,15.0,1,0,"['Swift Swim', 'Water Veil', 'Lightningrod']"
119,Seaking,92,Goldfish Pokémon,65,1.3,80,68,water,,39.0,1,0,"['Swift Swim', 'Water Veil', 'Lightningrod']"
120,Staryu,45,Starshape Pokémon,55,0.8,30,85,water,,34.5,1,0,"['Illuminate', 'Natural Cure', 'Analytic']"
121,Starmie,75,Mysterious Pokémon,85,1.1,60,115,water,psychic,80.0,1,0,"['Illuminate', 'Natural Cure', 'Analytic']"
122,Mr. Mime,45,Barrier Pokémon,65,1.3,40,90,psychic,fairy,54.5,1,0,"['Soundproof', 'Filter', 'Technician']"
123,Scyther,110,Mantis Pokémon,80,1.5,70,105,bug,flying,56.0,1,0,"['Swarm', 'Technician', 'Steadfast']"
124,Jynx,50,Humanshape Pokémon,35,1.4,65,95,ice,psychic,40.6,1,0,"['Oblivious', 'Forewarn', 'Dry Skin']"
125,Electabuzz,83,Electric Pokémon,57,1.1,65,105,electric,,30.0,1,0,"['Static', 'Vital Spirit']"
126,Magmar,95,Spitfire Pokémon,57,1.3,65,93,fire,,44.5,1,0,"['Flame Body', 'Vital Spirit']"
127,Pinsir,155,Stagbeetle Pokémon,120,1.5,65,105,bug,,55.0,1,0,"['Hyper Cutter', 'Mold Breaker', 'Moxie']"
128,Tauros,100,Wild Bull Pokémon,95,1.4,75,110,normal,,88.4,1,0,"['Intimidate', 'Anger Point', 'Sheer Force']"
129,Magikarp,10,Fish Pokémon,55,0.9,20,80,water,,10.0,1,0,"['Swift Swim', 'Rattled']"
130,Gyarados,155,Atrocious Pokémon,109,6.5,95,81,water,flying,235.0,1,0,"['Intimidate', 'Moxie']"
131,Lapras,85,Transport Pokémon,80,2.5,130,60,water,ice,220.0,1,0,"['Water Absorb', 'Shell Armor', 'Hydration']"
132,Ditto,48,Transform Pokémon,48,0.3,48,48,normal,,4.0,1,0,"['Limber', 'Imposter']"
133,Eevee,55,Evolution Pokémon,50,0.3,55,55,normal,,6.5,1,0,"['Run Away', 'Adaptability', 'Anticipation']"
134,Vaporeon,65,Bubble Jet Pokémon,60,1.0,130,65,water,,29.0,1,0,"['Water Absorb', 'Hydration']"
135,Jolteon,65,Lightning Pokémon,60,0.8,65,130,electric,,24.5,1,0,"['Volt Absorb', 'Quick Feet']"
136,Flareon,130,Flame Pokémon,60,0.9,65,65,fire,,25.0,1,0,"['Flash Fire', 'Guts']"
137,Porygon,60,Virtual Pokémon,70,0.8,65,40,normal,,36.5,1,0,"['Trace', 'Download', 'Analytic']"
138,Omanyte,40,Spiral Pokémon,100,0.4,35,35,rock,water,7.5,1,0,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
139,Omastar,60,Spiral Pokémon,125,1.0,70,55,rock,water,35.0,1,0,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
140,Kabuto,80,Shellfish Pokémon,90,0.5,30,55,rock,water,11.5,1,0,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
141,Kabutops,115,Shellfish Pokémon,105,1.3,60,80,rock,water,40.5,1,0,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
142,Aerodactyl,135,Fossil Pokémon,85,1.8,80,150,rock,flying,59.0,1,0,"['Rock Head', 'Pressure', 'Unnerve']"
143,Snorlax,110,Sleeping Pokémon,65,2.1,160,30,normal,,460.0,1,0,"['Immunity', 'Thick Fat', 'Gluttony']"
144,Articuno,85,Freeze Pokémon,100,1.7,90,85,ice,flying,55.4,1,1,"['Pressure', 'Snow Cloak']"
145,Zapdos,90,Electric Pokémon,85,1.6,90,100,electric,flying,52.6,1,1,"['Pressure', 'Static']"
146,Moltres,100,Flame Pokémon,90,2.0,90,90,fire,flying,60.0,1,1,"['Pressure', 'Flame Body']"
147,Dratini,64,Dragon Pokémon,45,1.8,41,50,dragon,,3.3,1,0,"['Shed Skin', 'Marvel Scale']"
148,Dragonair,84,Dragon Pokémon,65,4.0,61,70,dragon,,16.5,1,0,"['Shed Skin', 'Marvel Scale']"
149,Dragonite,134,Dragon Pokémon,95,2.2,91,80,dragon,flying,210.0,1,0,"['Inner Focus', 'Multiscale']"
150,Mewtwo,150,Genetic Pokémon,70,2.0,106,140,psychic,,122.0,1,1,"['Pressure', 'Unnerve']"
151,Mew,100,New Species Pokémon,100,0.4,100,100,psychic,,4.0,1,1,['Synchronize']
152,Chikorita,49,Leaf Pokémon,65,0.9,45,45,grass,,6.4,2,0,"['Overgrow', 'Leaf Guard']"
153,Bayleef,62,Leaf Pokémon,80,1.2,60,60,grass,,15.8,2,0,"['Overgrow', 'Leaf Guard']"
154,Meganium,82,Herb Pokémon,100,1.8,80,80,grass,,100.5,2,0,"['Overgrow', 'Leaf Guard']"
155,Cyndaquil,52,Fire Mouse Pokémon,43,0.5,39,65,fire,,7.9,2,0,"['Blaze', 'Flash Fire']"
156,Quilava,64,Volcano Pokémon,58,0.9,58,80,fire,,19.0,2,0,"['Blaze', 'Flash Fire']"
157,Typhlosion,84,Volcano Pokémon,78,1.7,78,100,fire,,79.5,2,0,"['Blaze', 'Flash Fire']"
158,Totodile,65,Big Jaw Pokémon,64,0.6,50,43,water,,9.5,2,0,"['Torrent', 'Sheer Force']"
159,Croconaw,80,Big Jaw Pokémon,80,1.1,65,58,water,,25.0,2,0,"['Torrent', 'Sheer Force']"
160,Feraligatr,105,Big Jaw Pokémon,100,2.3,85,78,water,,88.8,2,0,"['Torrent', 'Sheer Force']"
161,Sentret,46,Scout Pokémon,34,0.8,35,20,normal,,6.0,2,0,"['Run Away', 'Keen Eye', 'Frisk']"
162,Furret,76,Long Body Pokémon,64,1.8,85,90,normal,,32.5,2,0,"['Run Away', 'Keen Eye', 'Frisk']"
163,Hoothoot,30,Owl Pokémon,30,0.7,60,50,normal,flying,21.2,2,0,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
164,Noctowl,50,Owl Pokémon,50,1.6,100,70,normal,flying,40.8,2,0,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
165,Ledyba,20,Five Star Pokémon,30,1.0,40,55,bug,flying,10.8,2,0,"['Swarm', 'Early Bird', 'Rattled']"
166,Ledian,35,Five Star Pokémon,50,1.4,55,85,bug,flying,35.6,2,0,"['Swarm', 'Early Bird', 'Iron Fist']"
167,Spinarak,60,String Spit Pokémon,40,0.5,40,30,bug,poison,8.5,2,0,"['Swarm', 'Insomnia', 'Sniper']"
168,Ariados,90,Long Leg Pokémon,70,1.1,70,40,bug,poison,33.5,2,0,"['Swarm', 'Insomnia', 'Sniper']"
169,Crobat,90,Bat Pokémon,80,1.8,85,130,poison,flying,75.0,2,0,"['Inner Focus', 'Infiltrator']"
170,Chinchou,38,Angler Pokémon,38,0.5,75,67,water,electric,12.0,2,0,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
171,Lanturn,58,Light Pokémon,58,1.2,125,67,water,electric,22.5,2,0,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
172,Pichu,40,Tiny Mouse Pokémon,15,0.3,20,60,electric,,2.0,2,0,"['Static', 'Lightningrod']"
173,Cleffa,25,Star Shape Pokémon,28,0.3,50,15,fairy,,3.0,2,0,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
174,Igglybuff,30,Balloon Pokémon,15,0.3,90,15,normal,fairy,1.0,2,0,"['Cute Charm', 'Competitive', 'Friend Guard']"
175,Togepi,20,Spike Ball Pokémon,65,0.3,35,20,fairy,,1.5,2,0,"['Hustle', 'Serene Grace', 'Super Luck']"
176,Togetic,40,Happiness Pokémon,85,0.6,55,40,fairy,flying,3.2,2,0,"['Hustle', 'Serene Grace', 'Super Luck']"
177,Natu,50,Little Bird Pokémon,45,0.2,40,70,psychic,flying,2.0,2,0,"['Synchronize', 'Early Bird', 'Magic Bounce']"
178,Xatu,75,Mystic Pokémon,70,1.5,65,95,psychic,flying,15.0,2,0,"['Synchronize', 'Early Bird', 'Magic Bounce']"
179,Mareep,40,Wool Pokémon,40,0.6,55,35,electric,,7.8,2,0,"['Static', 'Plus']"
180,Flaaffy,55,Wool Pokémon,55,0.8,70,45,electric,,13.3,2,0,"['Static', 'Plus']"
181,Ampharos,95,Light Pokémon,105,1.4,90,45,electric,,61.5,2,0,"['Static', 'Plus']"
182,Bellossom,80,Flower Pokémon,95,0.4,75,50,grass,,5.8,2,0,"['Chlorophyll', 'Healer']"
183,Marill,20,Aquamouse Pokémon,50,0.4,70,40,water,fairy,8.5,2,0,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
184,Azumarill,50,Aquarabbit Pokémon,80,0.8,100,50,water,fairy,28.5,2,0,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
185,Sudowoodo,100,Imitation Pokémon,115,1.2,70,30,rock,,38.0,2,0,"['Sturdy', 'Rock Head', 'Rattled']"
186,Politoed,75,Frog Pokémon,75,1.1,90,70,water,,33.9,2,0,"['Water Absorb', 'Damp', 'Drizzle']"
187,Hoppip,35,Cottonweed Pokémon,40,0.4,35,50,grass,flying,0.5,2,0,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
188,Skiploom,45,Cottonweed Pokémon,50,0.6,55,80,grass,flying,1.0,2,0,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
189,Jumpluff,55,Cottonweed Pokémon,70,0.8,75,110,grass,flying,3.0,2,0,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
190,Aipom,70,Long Tail Pokémon,55,0.8,55,85,normal,,11.5,2,0,"['Run Away', 'Pickup', 'Skill Link']"
191,Sunkern,30,Seed Pokémon,30,0.3,30,30,grass,,1.8,2,0,"['Chlorophyll', 'Solar Power', 'Early Bird']"
192,Sunflora,75,Sun Pokémon,55,0.8,75,30,grass,,8.5,2,0,"['Chlorophyll', 'Solar Power', 'Early Bird']"
193,Yanma,65,Clear Wing Pokémon,45,1.2,65,95,bug,flying,38.0,2,0,"['Speed Boost', 'Compoundeyes', 'Frisk']"
194,Wooper,45,Water Fish Pokémon,45,0.4,55,15,water,ground,8.5,2,0,"['Damp', 'Water Absorb', 'Unaware']"
195,Quagsire,85,Water Fish Pokémon,85,1.4,95,35,water,ground,75.0,2,0,"['Damp', 'Water Absorb', 'Unaware']"
196,Espeon,65,Sun Pokémon,60,0.9,65,110,psychic,,26.5,2,0,"['Synchronize', 'Magic Bounce']"
197,Umbreon,65,Moonlight Pokémon,110,1.0,95,65,dark,,27.0,2,0,"['Synchronize', 'Inner Focus']"
198,Murkrow,85,Darkness Pokémon,42,0.5,60,91,dark,flying,2.1,2,0,"['Insomnia', 'Super Luck', 'Prankster']"
199,Slowking,75,Royal Pokémon,80,2.0,95,30,water,psychic,79.5,2,0,"['Oblivious', 'Own Tempo', 'Regenerator']"
200,Misdreavus,60,Screech Pokémon,60,0.7,60,85,ghost,,1.0,2,0,['Levitate']
201,Unown,72,Symbol Pokémon,48,0.5,48,48,psychic,,5.0,2,0,['Levitate']
202,Wobbuffet,33,Patient Pokémon,58,1.3,190,33,psychic,,28.5,2,0,"['Shadow Tag', 'Telepathy']"
203,Girafarig,80,Long Neck Pokémon,65,1.5,70,85,normal,psychic,41.5,2,0,"['Inner Focus', 'Early Bird', 'Sap Sipper']"
204,Pineco,65,Bagworm Pokémon,90,0.6,50,15,bug,,7.2,2,0,"['Sturdy', 'Overcoat']"
205,Forretress,90,Bagworm Pokémon,140,1.2,75,40,bug,steel,125.8,2,0,"['Sturdy', 'Overcoat']"
